iso_ts,t_perf,sample_idx,fsr1,fsr2,fsr3,fsr4,event,lane,detail
2026-05-12T12:07:07.780037,209962.993735,1,252,0,287,257,,,
2026-05-12T12:07:07.783917,209962.997292,2,252,0,287,256,,,
2026-05-12T12:07:07.789331,209963.002881,3,252,0,287,257,,,
2026-05-12T12:07:07.794330,209963.007704,4,252,0,287,256,,,
2026-05-12T12:07:07.799072,209963.012707,5,252,0,287,256,,,
2026-05-12T12:07:07.805451,209963.018787,6,252,0,287,257,,,
2026-05-12T12:07:07.809018,209963.022873,7,254,0,287,257,,,
2026-05-12T12:07:07.814141,209963.028073,8,253,0,287,257,,,
2026-05-12T12:07:07.821009,209963.034311,9,252,0,287,256,,,
2026-05-12T12:07:07.825778,209963.039633,10,252,0,287,256,,,
2026-05-12T12:07:07.828897,209963.042489,11,252,0,287,257,,,
2026-05-12T12:07:07.833902,209963.047697,12,252,0,287,257,,,
2026-05-12T12:07:07.839264,209963.052998,13,252,0,287,257,,,
2026-05-12T12:07:07.844372,209963.057844,14,252,0,284,256,,,
2026-05-12T12:07:07.849117,209963.063096,15,252,0,286,257,,,
2026-05-12T12:07:07.855035,209963.069028,16,252,0,287,256,,,
2026-05-12T12:07:07.859387,209963.073318,17,252,0,287,256,,,
2026-05-12T12:07:07.864952,209963.078423,18,252,0,287,256,,,
2026-05-12T12:07:07.869052,209963.083063,19,252,0,287,256,,,
2026-05-12T12:07:07.874100,209963.088097,20,252,0,287,257,,,
2026-05-12T12:07:07.878797,209963.092747,21,252,0,287,256,,,
2026-05-12T12:07:07.884683,209963.098441,22,252,0,287,256,,,
2026-05-12T12:07:07.889077,209963.103226,23,252,0,287,257,,,
2026-05-12T12:07:07.894117,209963.108331,24,252,0,287,256,,,
2026-05-12T12:07:07.899852,209963.113654,25,252,0,287,257,,,
2026-05-12T12:07:07.904293,209963.118578,26,252,0,287,257,,,
2026-05-12T12:07:07.909937,209963.123505,27,252,0,287,257,,,
2026-05-12T12:07:07.913937,209963.127768,28,252,0,285,257,,,
2026-05-12T12:07:07.919565,209963.132837,29,252,0,286,257,,,
2026-05-12T12:07:07.924633,209963.138155,30,252,0,287,256,,,
2026-05-12T12:07:07.929840,209963.143292,31,252,0,286,257,,,
2026-05-12T12:07:07.935050,209963.148247,32,252,0,287,257,,,
2026-05-12T12:07:07.940581,209963.153945,33,252,0,287,256,,,
2026-05-12T12:07:07.944131,209963.158630,34,252,0,287,257,,,
2026-05-12T12:07:07.949726,209963.163598,35,252,0,287,257,,,
2026-05-12T12:07:07.955276,209963.168666,36,254,0,287,257,,,
2026-05-12T12:07:07.959876,209963.173059,37,253,0,287,257,,,
2026-05-12T12:07:07.963902,209963.177999,38,252,0,287,257,,,
2026-05-12T12:07:07.970432,209963.183830,39,252,0,287,257,,,
2026-05-12T12:07:07.974418,209963.188341,40,254,0,287,257,,,
2026-05-12T12:07:07.979974,209963.193516,41,252,0,287,257,,,
2026-05-12T12:07:07.984927,209963.198401,42,252,0,287,256,,,
2026-05-12T12:07:07.990157,209963.203920,43,252,0,287,257,,,
2026-05-12T12:07:07.994268,209963.208745,44,252,0,287,257,,,
2026-05-12T12:07:07.998865,209963.212866,45,252,0,287,257,,,
2026-05-12T12:07:08.004412,209963.218734,46,252,0,287,256,,,
2026-05-12T12:07:08.008940,209963.223338,47,252,0,287,257,,,
2026-05-12T12:07:08.014363,209963.228407,48,252,0,287,257,,,
2026-05-12T12:07:08.019965,209963.233870,49,252,0,287,257,,,
2026-05-12T12:07:08.024575,209963.238599,50,252,0,287,257,,,
2026-05-12T12:07:08.030122,209963.243728,51,252,0,287,257,,,
2026-05-12T12:07:08.035706,209963.249118,52,252,0,287,257,,,
2026-05-12T12:07:08.040725,209963.253928,53,252,0,287,257,,,
2026-05-12T12:07:08.044712,209963.258060,54,252,0,287,256,,,
2026-05-12T12:07:08.049371,209963.263232,55,252,0,287,257,,,
2026-05-12T12:07:08.055454,209963.268928,56,252,0,287,257,,,
2026-05-12T12:07:08.060152,209963.273578,57,252,0,287,257,,,
2026-05-12T12:07:08.064177,209963.278567,58,252,0,287,257,,,
2026-05-12T12:07:08.071293,209963.284483,59,252,0,287,257,,,
2026-05-12T12:07:08.075797,209963.288955,60,252,0,287,257,,,
2026-05-12T12:07:08.080805,209963.294225,61,252,0,287,257,,,
2026-05-12T12:07:08.084807,209963.298639,62,252,0,287,257,,,
2026-05-12T12:07:08.090394,209963.303660,63,252,0,287,257,,,
2026-05-12T12:07:08.094380,209963.308550,64,252,0,287,257,,,
2026-05-12T12:07:08.100917,209963.314413,65,252,0,287,257,,,
2026-05-12T12:07:08.105926,209963.319740,66,252,0,287,256,,,
2026-05-12T12:07:08.111012,209963.324341,67,252,0,287,257,,,
2026-05-12T12:07:08.115012,209963.329064,68,252,0,287,257,,,
2026-05-12T12:07:08.120564,209963.334573,69,252,0,287,257,,,
2026-05-12T12:07:08.124652,209963.338281,70,252,0,287,257,,,
2026-05-12T12:07:08.129348,209963.343422,71,252,0,287,257,,,
2026-05-12T12:07:08.135835,209963.349699,72,252,0,287,257,,,
2026-05-12T12:07:08.140355,209963.353635,73,252,0,287,257,,,
2026-05-12T12:07:08.144355,209963.358960,74,252,0,287,257,,,
2026-05-12T12:07:08.150907,209963.364569,75,252,0,287,257,,,
2026-05-12T12:07:08.156031,209963.369402,76,252,0,287,257,,,
2026-05-12T12:07:08.160377,209963.374328,77,252,0,287,257,,,
2026-05-12T12:07:08.166400,209963.380151,78,252,0,287,256,,,
2026-05-12T12:07:08.170420,209963.384271,79,252,0,287,257,,,
2026-05-12T12:07:08.174815,209963.388477,80,252,0,287,257,,,
2026-05-12T12:07:08.180310,209963.393723,81,252,0,287,257,,,
2026-05-12T12:07:08.185993,209963.399557,82,252,0,287,257,,,
2026-05-12T12:07:08.190086,209963.403934,83,252,0,287,257,,,
2026-05-12T12:07:08.195091,209963.408972,84,252,0,287,257,,,
2026-05-12T12:07:08.201369,209963.414700,85,252,0,287,257,,,
2026-05-12T12:07:08.205968,209963.419564,86,252,0,287,257,,,
2026-05-12T12:07:08.211099,209963.424478,87,252,0,287,257,,,
2026-05-12T12:07:08.216772,209963.430215,88,252,0,287,257,,,
2026-05-12T12:07:08.221768,209963.435434,89,252,0,287,257,,,
2026-05-12T12:07:08.226506,209963.440124,90,252,0,287,257,,,
2026-05-12T12:07:08.231138,209963.444975,91,252,0,287,257,,,
2026-05-12T12:07:08.236521,209963.450306,92,252,0,287,257,,,
2026-05-12T12:07:08.241642,209963.455253,93,252,0,287,257,,,
2026-05-12T12:07:08.247254,209963.460818,94,252,0,287,257,,,
2026-05-12T12:07:08.252975,209963.466507,95,252,0,287,257,,,
2026-05-12T12:07:08.255993,209963.469829,96,252,0,287,257,,,
2026-05-12T12:07:08.261102,209963.474851,97,252,0,287,257,,,
2026-05-12T12:07:08.266607,209963.480222,98,252,0,287,256,,,
2026-05-12T12:07:08.271653,209963.485423,99,252,0,287,257,,,
2026-05-12T12:07:08.276766,209963.490264,100,252,0,287,257,,,
