iso_ts,t_perf,sample_idx,fsr1,fsr2,fsr3,fsr4,event,lane,detail
2026-05-12T12:09:50.974755,210126.188737,1,252,0,284,258,,,
2026-05-12T12:09:50.978763,210126.192753,2,252,0,284,258,,,
2026-05-12T12:09:50.984036,210126.197325,3,252,0,284,258,,,
2026-05-12T12:09:50.988805,210126.202601,4,252,0,284,258,,,
2026-05-12T12:09:50.993483,210126.207528,5,252,0,284,258,,,
2026-05-12T12:09:51.000696,210126.213974,6,252,0,284,258,,,
2026-05-12T12:09:51.004188,210126.217679,7,252,0,284,258,,,
2026-05-12T12:09:51.009206,210126.223108,8,252,0,284,258,,,
2026-05-12T12:09:51.015520,210126.228931,9,252,0,284,258,,,
2026-05-12T12:09:51.020457,210126.233629,10,252,0,284,258,,,
2026-05-12T12:09:51.024112,210126.237344,11,252,0,284,258,,,
2026-05-12T12:09:51.029193,210126.242476,12,252,0,284,258,,,
2026-05-12T12:09:51.034283,210126.247661,13,252,0,284,258,,,
2026-05-12T12:09:51.039334,210126.252758,14,253,0,284,258,,,
2026-05-12T12:09:51.044011,210126.257762,15,252,0,284,258,,,
2026-05-12T12:09:51.050016,210126.263300,16,252,0,284,257,,,
2026-05-12T12:09:51.054018,210126.268158,17,255,0,284,257,,,
2026-05-12T12:09:51.059457,210126.273136,18,253,0,284,257,,,
2026-05-12T12:09:51.064004,210126.277418,19,252,0,284,257,,,
2026-05-12T12:09:51.069921,210126.283207,20,252,0,284,257,,,
2026-05-12T12:09:51.074432,210126.287563,21,254,0,286,257,,,
2026-05-12T12:09:51.078455,210126.292559,22,253,0,285,257,,,
2026-05-12T12:09:51.084147,210126.297971,23,252,0,284,256,,,
2026-05-12T12:09:51.089165,210126.303121,24,252,0,284,257,,,
2026-05-12T12:09:51.095217,210126.308755,25,252,0,284,257,,,
2026-05-12T12:09:51.100216,210126.313709,26,252,0,284,257,,,
2026-05-12T12:09:51.105806,210126.319251,27,252,0,284,257,,,
2026-05-12T12:09:51.108822,210126.322589,28,252,0,284,257,,,
2026-05-12T12:09:51.114875,210126.328842,29,252,0,284,257,,,
2026-05-12T12:09:51.119895,210126.333463,30,252,0,284,257,,,
2026-05-12T12:09:51.124526,210126.338040,31,252,0,284,257,,,
2026-05-12T12:09:51.130545,210126.344623,32,252,0,284,257,,,
2026-05-12T12:09:51.135060,210126.348774,33,252,0,284,257,,,
2026-05-12T12:09:51.140060,210126.353425,34,252,0,284,257,,,
2026-05-12T12:09:51.144771,210126.358646,35,252,0,284,257,,,
2026-05-12T12:09:51.149777,210126.363619,36,252,0,284,257,,,
2026-05-12T12:09:51.154296,210126.367733,37,252,0,284,257,,,
2026-05-12T12:09:51.159440,210126.372878,38,253,0,284,257,,,
2026-05-12T12:09:51.164978,210126.378164,39,252,0,284,257,,,
2026-05-12T12:09:51.169022,210126.383049,40,252,0,284,257,,,
2026-05-12T12:09:51.174687,210126.388590,41,252,0,286,257,,,
2026-05-12T12:09:51.180241,210126.393948,42,252,0,287,257,,,
2026-05-12T12:09:51.186325,210126.399512,43,252,0,284,256,,,
2026-05-12T12:09:51.190332,210126.403684,44,252,0,284,257,,,
2026-05-12T12:09:51.194076,210126.407797,45,252,0,284,257,,,
2026-05-12T12:09:51.199580,210126.413777,46,252,0,284,257,,,
2026-05-12T12:09:51.204301,210126.418053,47,252,0,284,257,,,
2026-05-12T12:09:51.209321,210126.423081,48,252,0,284,257,,,
2026-05-12T12:09:51.215164,210126.429224,49,252,0,284,257,,,
2026-05-12T12:09:51.220179,210126.434102,50,252,0,285,257,,,
2026-05-12T12:09:51.225238,210126.438549,51,252,0,284,257,,,
2026-05-12T12:09:51.230264,210126.443827,52,252,0,284,257,,,
2026-05-12T12:09:51.234759,210126.448044,53,252,0,284,257,,,
2026-05-12T12:09:51.239761,210126.453158,54,252,0,284,257,,,
2026-05-12T12:09:51.244461,210126.458033,55,252,0,284,257,,,
2026-05-12T12:09:51.250483,210126.463643,56,252,0,284,257,,,
2026-05-12T12:09:51.255027,210126.468500,57,252,0,287,257,,,
2026-05-12T12:09:51.260115,210126.473662,58,252,0,285,257,,,
2026-05-12T12:09:51.265491,210126.479386,59,252,0,284,257,,,
2026-05-12T12:09:51.270489,210126.483867,60,252,0,284,257,,,
2026-05-12T12:09:51.274709,210126.488781,61,252,0,286,257,,,
2026-05-12T12:09:51.279713,210126.493648,62,252,0,285,257,,,
2026-05-12T12:09:51.285249,210126.498407,63,252,0,286,257,,,
2026-05-12T12:09:51.289786,210126.503367,64,252,0,287,257,,,
2026-05-12T12:09:51.295691,210126.509122,65,252,0,287,257,,,
2026-05-12T12:09:51.299790,210126.513617,66,252,0,287,257,,,
2026-05-12T12:09:51.305426,210126.518845,67,252,0,287,257,,,
2026-05-12T12:09:51.312379,210126.525737,68,252,0,287,257,,,
2026-05-12T12:09:51.316115,210126.529447,69,252,0,287,257,,,
2026-05-12T12:09:51.319628,210126.533117,70,252,0,287,259,,,
2026-05-12T12:09:51.324330,210126.538430,71,252,0,287,258,,,
2026-05-12T12:09:51.329426,210126.543179,72,252,0,287,258,,,
2026-05-12T12:09:51.335018,210126.548524,73,252,0,287,258,,,
2026-05-12T12:09:51.340020,210126.553844,74,252,0,285,258,,,
2026-05-12T12:09:51.345539,210126.558982,75,252,0,286,258,,,
2026-05-12T12:09:51.350546,210126.563731,76,252,0,287,258,,,
2026-05-12T12:09:51.355071,210126.569096,77,252,0,287,258,,,
2026-05-12T12:09:51.361066,210126.574943,78,252,0,287,258,,,
2026-05-12T12:09:51.364664,210126.578509,79,252,0,285,258,,,
2026-05-12T12:09:51.369790,210126.583298,80,252,0,284,258,,,
2026-05-12T12:09:51.376283,210126.589777,81,252,0,284,258,,,
2026-05-12T12:09:51.380285,210126.593464,82,252,0,286,258,,,
2026-05-12T12:09:51.384981,210126.598909,83,252,0,285,257,,,
2026-05-12T12:09:51.390098,210126.604015,84,252,0,287,257,,,
2026-05-12T12:09:51.395084,210126.609040,85,252,0,287,257,,,
2026-05-12T12:09:51.401022,210126.614388,86,252,0,287,257,,,
2026-05-12T12:09:51.405566,210126.619258,87,252,0,286,256,,,
2026-05-12T12:09:51.411587,210126.625376,88,252,0,285,257,,,
2026-05-12T12:09:51.416145,210126.629586,89,252,0,286,257,,,
2026-05-12T12:09:51.421248,210126.635078,90,252,0,287,257,,,
2026-05-12T12:09:51.427659,210126.641074,91,252,0,287,256,,,
2026-05-12T12:09:51.432666,210126.645845,92,252,0,285,257,,,
2026-05-12T12:09:51.436404,210126.650167,93,252,0,287,257,,,
2026-05-12T12:09:51.441340,210126.655054,94,252,0,287,257,,,
2026-05-12T12:09:51.447008,210126.660811,95,252,0,287,257,,,
2026-05-12T12:09:51.451074,210126.664512,96,252,0,285,257,,,
2026-05-12T12:09:51.457496,210126.670952,97,252,0,286,256,,,
2026-05-12T12:09:51.461497,210126.675534,98,252,0,285,257,,,
2026-05-12T12:09:51.466114,210126.680085,99,252,0,286,257,,,
2026-05-12T12:09:51.471142,210126.685025,100,252,0,286,257,,,
2026-05-12T12:09:51.477615,210126.691317,101,252,0,287,257,,,
2026-05-12T12:09:51.481613,210126.695271,102,252,0,287,257,,,
2026-05-12T12:09:51.487140,210126.700418,103,252,0,285,257,,,
2026-05-12T12:09:51.492286,210126.705963,104,252,0,286,257,,,
2026-05-12T12:09:51.495770,210126.709739,105,252,0,285,257,,,
2026-05-12T12:09:51.501723,210126.714941,106,252,0,284,257,,,
2026-05-12T12:09:51.509251,210126.722510,107,252,0,284,256,,,
2026-05-12T12:09:51.512262,210126.725511,108,252,0,284,257,,,
2026-05-12T12:09:51.516801,210126.730140,109,252,0,284,257,,,
2026-05-12T12:09:51.522314,210126.735551,110,252,0,284,256,,,
2026-05-12T12:09:51.526854,210126.740506,111,252,0,284,256,,,
2026-05-12T12:09:51.531963,210126.745760,112,252,0,284,257,,,
2026-05-12T12:09:51.535652,210126.749620,113,252,0,284,257,,,
2026-05-12T12:09:51.541548,210126.755303,114,252,0,284,257,,,
2026-05-12T12:09:51.546180,210126.760211,115,252,0,284,256,,,
2026-05-12T12:09:51.552174,210126.765323,116,252,0,284,257,,,
2026-05-12T12:09:51.556403,210126.770342,117,254,0,284,257,,,
2026-05-12T12:09:51.562359,210126.776008,118,252,0,284,257,,,
2026-05-12T12:09:51.566102,210126.780371,119,252,0,284,256,,,
2026-05-12T12:09:51.571791,210126.785641,120,252,0,284,257,,,
2026-05-12T12:09:51.577258,210126.790391,121,252,0,284,257,,,
2026-05-12T12:09:51.581348,210126.795002,122,252,0,284,256,,,
2026-05-12T12:09:51.586061,210126.799959,123,252,0,284,257,,,
2026-05-12T12:09:51.591973,210126.805605,124,252,0,284,257,,,
2026-05-12T12:09:51.596389,210126.810322,125,252,0,284,256,,,
2026-05-12T12:09:51.601384,210126.815401,126,252,0,284,256,,,
2026-05-12T12:09:51.608002,210126.821154,127,252,0,284,256,,,
2026-05-12T12:09:51.612046,210126.825681,128,252,0,284,257,,,
2026-05-12T12:09:51.617736,210126.830911,129,252,0,284,256,,,
2026-05-12T12:09:51.622684,210126.835927,130,252,0,284,256,,,
2026-05-12T12:09:51.627201,210126.840393,131,252,0,284,256,,,
2026-05-12T12:09:51.631721,210126.845219,132,252,0,284,256,,,
2026-05-12T12:09:51.636679,210126.850315,133,252,0,284,257,,,
2026-05-12T12:09:51.642686,210126.855816,134,252,0,284,257,,,
2026-05-12T12:09:51.647209,210126.860666,135,252,0,284,256,,,
2026-05-12T12:09:51.652207,210126.865796,136,252,0,284,256,,,
2026-05-12T12:09:51.657804,210126.871690,137,252,0,284,257,,,
2026-05-12T12:09:51.662804,210126.875968,138,252,0,284,257,,,
2026-05-12T12:09:51.667986,210126.881194,139,252,0,284,257,,,
2026-05-12T12:09:51.672992,210126.886343,140,252,0,284,257,,,
