iso_ts,t_perf,sample_idx,fsr1,fsr2,fsr3,fsr4,event,lane,detail
2025-10-14T14:35:00.671671,97446.660661,1,272,70,231,254,,,
2025-10-14T14:35:00.675662,97446.664571,2,272,68,231,253,,,
2025-10-14T14:35:00.680647,97446.669651,3,272,70,231,254,,,
2025-10-14T14:35:00.687632,97446.677066,4,272,71,229,253,,,
2025-10-14T14:35:00.690624,97446.680091,5,272,70,228,254,,,
2025-10-14T14:35:00.695610,97446.685128,6,272,71,230,255,,,
2025-10-14T14:35:00.701594,97446.690602,7,272,69,231,252,,,
2025-10-14T14:35:00.706581,97446.696165,8,272,70,231,252,,,
2025-10-14T14:35:00.711568,97446.700442,9,274,71,231,252,,,
2025-10-14T14:35:00.715733,97446.704985,10,273,71,231,252,,,
2025-10-14T14:35:00.721711,97446.711094,11,272,71,231,252,,,
2025-10-14T14:35:00.725702,97446.714902,12,273,71,229,254,,,
2025-10-14T14:35:00.730688,97446.719936,13,272,69,230,253,,,
2025-10-14T14:35:00.737669,97446.727156,14,272,70,229,254,,,
2025-10-14T14:35:00.741660,97446.730466,15,272,71,230,255,,,
2025-10-14T14:35:00.746648,97446.735433,16,272,71,231,255,,,
2025-10-14T14:35:00.751635,97446.741047,17,272,71,231,255,,,
2025-10-14T14:35:00.757619,97446.746546,18,272,71,231,252,,,
2025-10-14T14:35:00.760611,97446.750215,19,272,71,231,254,,,
2025-10-14T14:35:00.765598,97446.754930,20,272,71,231,255,,,
2025-10-14T14:35:00.771582,97446.760464,21,272,71,231,255,,,
2025-10-14T14:35:00.775571,97446.765173,22,272,71,231,254,,,
2025-10-14T14:35:00.781555,97446.770440,23,272,71,231,253,,,
2025-10-14T14:35:00.787539,97446.777018,24,272,69,230,254,,,
2025-10-14T14:35:00.791529,97446.780740,25,272,68,229,253,,,
2025-10-14T14:35:00.796515,97446.785724,26,272,70,228,252,,,
2025-10-14T14:35:00.801501,97446.790825,27,272,69,230,252,,,
2025-10-14T14:35:00.806489,97446.795817,28,272,68,228,252,,,
2025-10-14T14:35:00.810478,97446.799996,29,272,69,228,252,,,
2025-10-14T14:35:00.815464,97446.805044,30,272,70,230,252,,,
2025-10-14T14:35:00.822446,97446.811369,31,272,71,231,252,,,
2025-10-14T14:35:00.826435,97446.815506,32,272,71,231,252,,,
2025-10-14T14:35:00.831421,97446.820701,33,272,71,229,252,,,
2025-10-14T14:35:00.838406,97446.827803,34,272,69,228,252,,,
