iso_ts,t_perf,sample_idx,fsr1,fsr2,fsr3,fsr4,event,lane,detail
2025-09-25T13:23:32.176580,1384.976924,-1,0,0,0,0,stim,0,trial=1
2025-09-25T13:23:32.653877,1385.454588,-1,0,0,0,0,resp,0,rt_ms=476.47;grade=Good
2025-09-25T13:23:33.686181,1386.486659,-1,0,0,0,0,stim,0,trial=2
2025-09-25T13:23:34.178862,1386.979956,-1,0,0,0,0,resp,0,rt_ms=492.68;grade=Good
2025-09-25T13:23:35.194134,1387.994585,-1,0,0,0,0,stim,1,trial=3
2025-09-25T13:23:35.573895,1388.374902,-1,0,0,0,0,resp,1,rt_ms=379.8;grade=Good
2025-09-25T13:23:36.704537,1389.504920,-1,0,0,0,0,stim,0,trial=4
2025-09-25T13:23:37.262795,1390.063857,-1,0,0,0,0,resp,0,rt_ms=558.35;grade=Late
2025-09-25T13:23:38.213189,1391.013549,-1,0,0,0,0,stim,2,trial=5
2025-09-25T13:23:38.984180,1391.785239,-1,0,0,0,0,resp_wrong,3,trial=5
2025-09-25T13:23:39.258925,1392.060065,-1,0,0,0,0,resp_wrong,2,trial=5
2025-09-25T13:23:39.725710,1392.526132,-1,0,0,0,0,stim,3,trial=6
2025-09-25T13:23:40.123350,1392.924406,-1,0,0,0,0,resp,3,rt_ms=397.73;grade=Good
2025-09-25T13:23:41.226148,1394.026540,-1,0,0,0,0,stim,2,trial=7
2025-09-25T13:23:41.671480,1394.471852,-1,0,0,0,0,resp,2,rt_ms=443.43;grade=Good
2025-09-25T13:23:42.729179,1395.529543,-1,0,0,0,0,stim,2,trial=8
2025-09-25T13:23:43.140080,1395.941120,-1,0,0,0,0,resp,2,rt_ms=411.0;grade=Good
2025-09-25T13:23:44.235750,1397.036106,-1,0,0,0,0,stim,0,trial=9
2025-09-25T13:23:44.713445,1397.514527,-1,0,0,0,0,resp,0,rt_ms=477.83;grade=Good
2025-09-25T13:23:45.737582,1398.537985,-1,0,0,0,0,stim,0,trial=10
2025-09-25T13:23:46.308553,1399.109691,-1,0,0,0,0,resp,0,rt_ms=571.04;grade=Late
2025-09-25T13:23:47.253651,1400.054030,-1,0,0,0,0,stim,3,trial=11
2025-09-25T13:23:47.748068,1400.549143,-1,0,0,0,0,resp,3,rt_ms=494.51;grade=Good
2025-09-25T13:23:48.768367,1401.568748,-1,0,0,0,0,stim,1,trial=12
2025-09-25T13:23:49.274525,1402.075553,-1,0,0,0,0,resp,1,rt_ms=506.22;grade=Late
2025-09-25T13:23:50.275993,1403.076380,-1,0,0,0,0,stim,0,trial=13
2025-09-25T13:23:50.800678,1403.601738,-1,0,0,0,0,resp,0,rt_ms=524.79;grade=Late
2025-09-25T13:23:51.787648,1404.588002,-1,0,0,0,0,stim,2,trial=14
2025-09-25T13:23:52.211484,1405.012652,-1,0,0,0,0,resp,2,rt_ms=424.05;grade=Good
2025-09-25T13:23:53.297792,1406.098170,-1,0,0,0,0,stim,1,trial=15
2025-09-25T13:23:53.658793,1406.459900,-1,0,0,0,0,resp,1,rt_ms=361.07;grade=Good
2025-09-25T13:23:54.798408,1407.598794,-1,0,0,0,0,stim,1,trial=16
2025-09-25T13:23:55.240222,1408.041268,-1,0,0,0,0,resp,1,rt_ms=441.89;grade=Good
2025-09-25T13:23:56.301323,1409.101686,-1,0,0,0,0,stim,3,trial=17
2025-09-25T13:23:56.792787,1409.593979,-1,0,0,0,0,resp,3,rt_ms=491.6;grade=Good
2025-09-25T13:23:57.803687,1410.604077,-1,0,0,0,0,stim,2,trial=18
2025-09-25T13:23:58.248050,1411.049147,-1,0,0,0,0,resp,2,rt_ms=444.46;grade=Good
2025-09-25T13:23:59.311213,1412.111575,-1,0,0,0,0,stim,2,trial=19
2025-09-25T13:23:59.742125,1412.543187,-1,0,0,0,0,resp,2,rt_ms=431.02;grade=Good
2025-09-25T13:24:00.822111,1413.622489,-1,0,0,0,0,stim,2,trial=20
2025-09-25T13:24:01.297378,1414.098407,-1,0,0,0,0,resp,2,rt_ms=475.33;grade=Good
2025-09-25T13:24:06.047740,1418.848069,-1,0,0,0,0,stim,1,trial=1
