participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses
81,25,pretest,1,n,FALSE,878.56,Late,1,Late,,n,n,1
81,25,pretest,2,v,FALSE,427.93,Good,2,Good,,v,v,1
81,25,pretest,3,n,FALSE,351.15,Good,2,Good,,n,n,1
81,25,pretest,4,n,FALSE,397.92,Good,2,Good,,n,n,1
81,25,pretest,5,m,FALSE,312.21,Good,2,Good,,m,m,1
81,25,pretest,6,b,FALSE,383.02,Good,2,Good,,b,b,1
81,25,pretest,7,n,FALSE,807.46,Late,1,Late,,n,n,1
81,25,pretest,7,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
81,25,pretest,8,v,FALSE,439.33,Good,2,Good,,v,v,1
81,25,pretest,9,v,FALSE,428.44,Good,2,Good,,v,v,1
81,25,pretest,10,b,FALSE,348.2,Good,2,Good,,b,b,1
81,25,pretest,11,n,FALSE,412.92,Good,2,Good,,n,n,1
81,25,pretest,12,m,FALSE,312.17,Good,2,Good,,m,m,1
81,25,pretest,13,n,FALSE,381.97,Good,2,Good,,n,n,1
81,25,pretest,14,m,FALSE,379.99,Good,2,Good,,m,m,1
81,25,pretest,15,m,FALSE,381.91,Good,2,Good,,m,m,1
81,25,pretest,16,v,FALSE,363.07,Good,2,Good,,v,v,1
81,25,pretest,17,v,FALSE,329.14,Good,2,Good,,v,v,1
81,25,pretest,18,b,FALSE,269.28,Good,2,Good,,b,b,1
81,25,pretest,19,b,FALSE,0,Miss,-2,Miss!,incorrect_key,n,b,1
81,25,pretest,19,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
81,25,pretest,19,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
81,25,pretest,19,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
81,25,pretest,20,v,FALSE,467.09,Good,2,Good,,v,v,1
81,25,pretest,21,m,FALSE,398.03,Good,2,Good,,m,m,1
81,25,pretest,22,b,FALSE,481.49,Good,2,Good,,b,b,1
81,25,pretest,23,n,FALSE,314.68,Good,2,Good,,n,n,1
81,25,pretest,24,m,FALSE,299.24,Good,2,Good,,m,m,1
81,25,pretest,25,v,FALSE,314.14,Good,2,Good,,v,v,1
81,25,pretest,26,b,FALSE,0,Miss,-2,Miss!,incorrect_key,n,b,1
81,25,pretest,26,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
81,25,pretest,27,v,FALSE,450.74,Good,2,Good,,v,v,1
81,25,pretest,28,m,FALSE,450.79,Good,2,Good,,m,m,1
81,25,pretest,29,n,FALSE,511.76,Late,1,Late,,n,n,1
81,25,pretest,30,m,FALSE,379.49,Good,2,Good,,m,m,1
81,25,pretest,31,b,FALSE,296.85,Good,2,Good,,b,b,1
81,25,pretest,32,m,FALSE,368.06,Good,2,Good,,m,m,1
81,25,pretest,33,v,FALSE,382.04,Good,2,Good,,v,v,1
81,25,pretest,34,v,FALSE,351.09,Good,2,Good,,v,v,1
81,25,pretest,35,b,FALSE,230.5,Good,2,Good,,b,b,1
81,25,pretest,36,b,FALSE,0,Miss,-2,Miss!,incorrect_key,v,b,1
81,25,pretest,36,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
81,25,pretest,37,b,FALSE,429.82,Good,2,Good,,b,b,1
81,25,pretest,38,m,FALSE,381.5,Good,2,Good,,m,m,1
81,25,pretest,39,b,FALSE,351.03,Good,2,Good,,b,b,1
81,25,pretest,40,b,FALSE,349.64,Good,2,Good,,b,b,1
81,25,pretest,41,n,FALSE,360.07,Good,2,Good,,n,n,1
81,25,pretest,42,n,FALSE,418.19,Good,2,Good,,n,n,1
81,25,pretest,43,m,FALSE,666.29,Late,1,Late,,m,m,1
81,25,pretest,44,v,FALSE,466.18,Good,2,Good,,v,v,1
81,25,pretest,45,n,FALSE,370.05,Good,2,Good,,n,n,1
81,25,pretest,46,m,FALSE,283.83,Good,2,Good,,m,m,1
81,25,pretest,47,m,FALSE,316.75,Good,2,Good,,m,m,1
81,25,pretest,48,m,FALSE,267.24,Good,2,Good,,m,m,1
81,25,pretest,49,v,FALSE,363.8,Good,2,Good,,v,v,1
81,25,pretest,50,m,FALSE,296.11,Good,2,Good,,m,m,1
81,25,main,1,b,FALSE,330.19,Good,2,Good,,b,b,1
81,25,main,2,v,FALSE,397.88,Good,2,Good,,v,v,1
81,25,main,3,n,FALSE,378.97,Good,2,Good,,n,n,1
81,25,main,4,b,FALSE,352.0,Good,2,Good,,b,b,1
81,25,main,5,m,FALSE,413.9,Good,2,Good,,m,m,1
81,25,main,6,v,FALSE,346.83,Good,2,Good,,v,v,1
81,25,main,7,b,FALSE,298.31,Good,2,Good,,b,b,1
81,25,main,8,n,FALSE,365.58,Good,2,Good,,n,n,1
81,25,main,9,m,FALSE,298.2,Good,2,Good,,m,m,1
81,25,main,10,b,FALSE,296.31,Good,2,Good,,b,b,1
81,25,main,11,b,FALSE,328.26,Good,2,Good,,b,b,1
81,25,main,12,v,FALSE,400.49,Good,2,Good,,v,v,1
81,25,main,13,n,FALSE,381.99,Good,2,Good,,n,n,1
81,25,main,14,b,FALSE,396.89,Good,2,Good,,b,b,1
81,25,main,15,m,FALSE,745.69,Late,1,Late,,m,m,1
81,25,main,16,v,FALSE,449.41,Good,2,Good,,v,v,1
81,25,main,17,b,FALSE,379.04,Good,2,Good,,b,b,1
81,25,main,18,n,FALSE,397.93,Good,2,Good,,n,n,1
81,25,main,19,m,FALSE,316.94,Good,2,Good,,m,m,1
81,25,main,20,b,FALSE,446.3,Good,2,Good,,b,b,1
81,25,main,21,b,FALSE,389.62,Good,2,Good,,b,b,1
81,25,main,22,v,FALSE,382.04,Good,2,Good,,v,v,1
81,25,main,23,n,FALSE,265.33,Good,2,Good,,n,n,1
81,25,main,24,b,FALSE,363.03,Good,2,Good,,b,b,1
81,25,main,25,m,FALSE,343.78,Good,2,Good,,m,m,1
81,25,main,26,v,FALSE,351.04,Good,2,Good,,v,v,1
81,25,main,27,b,FALSE,348.08,Good,2,Good,,b,b,1
81,25,main,28,n,FALSE,428.85,Good,2,Good,,n,n,1
81,25,main,29,m,FALSE,409.02,Good,2,Good,,m,m,1
81,25,main,30,b,FALSE,465.38,Good,2,Good,,b,b,1
81,25,main,31,b,FALSE,382.06,Good,2,Good,,b,b,1
81,25,main,32,v,FALSE,381.61,Good,2,Good,,v,v,1
81,25,main,33,n,FALSE,382.95,Good,2,Good,,n,n,1
81,25,main,34,b,FALSE,300.23,Good,2,Good,,b,b,1
81,25,main,35,m,FALSE,315.75,Good,2,Good,,m,m,1
81,25,main,36,v,FALSE,347.08,Good,2,Good,,v,v,1
81,25,main,37,b,FALSE,263.35,Good,2,Good,,b,b,1
81,25,main,38,n,FALSE,314.14,Good,2,Good,,n,n,1
81,25,main,39,m,FALSE,343.75,Good,2,Good,,m,m,1
81,25,main,40,b,FALSE,250.47,Good,2,Good,,b,b,1
81,25,main,41,b,FALSE,247.41,Good,2,Good,,b,b,1
81,25,main,42,v,FALSE,299.66,Good,2,Good,,v,v,1
81,25,main,43,n,FALSE,578.23,Late,1,Late,,n,n,1
81,25,main,44,b,FALSE,349.2,Good,2,Good,,b,b,1
81,25,main,45,m,FALSE,301.83,Good,2,Good,,m,m,1
81,25,main,46,v,FALSE,0,Miss,-2,Miss!,incorrect_key,b,v,1
81,25,main,46,v,FALSE,0,Miss,-2,Miss!,incorrect_key,v,v,1
81,25,main,47,b,FALSE,280.31,Good,2,Good,,b,b,1
81,25,main,48,n,FALSE,364.98,Good,2,Good,,n,n,1
81,25,main,49,m,FALSE,297.22,Good,2,Good,,m,m,1
81,25,main,50,b,FALSE,267.35,Good,2,Good,,b,b,1
81,25,main,51,b,FALSE,0,Miss,-2,Miss!,incorrect_key,v,b,1
81,25,main,51,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
81,25,main,52,v,FALSE,411.92,Good,2,Good,,v,v,1
81,25,main,53,n,FALSE,428.41,Good,2,Good,,n,n,1
81,25,main,54,b,FALSE,394.59,Good,2,Good,,b,b,1
81,25,main,55,m,FALSE,329.67,Good,2,Good,,m,m,1
81,25,main,56,v,FALSE,678.82,Late,1,Late,,v,v,1
81,25,main,57,b,FALSE,397.37,Good,2,Good,,b,b,1
81,25,main,58,n,FALSE,428.91,Good,2,Good,,n,n,1
81,25,main,59,m,FALSE,382.09,Good,2,Good,,m,m,1
81,25,main,60,b,FALSE,381.37,Good,2,Good,,b,b,1
81,25,main,61,b,FALSE,314.48,Good,2,Good,,b,b,1
81,25,main,62,v,FALSE,395.47,Good,2,Good,,v,v,1
81,25,main,63,n,FALSE,976.2,Late,1,Late,,n,n,1
81,25,main,64,b,FALSE,525.64,Late,1,Late,,b,b,1
81,25,main,65,m,FALSE,344.1,Good,2,Good,,m,m,1
81,25,main,66,v,FALSE,0,Miss,-2,Miss!,incorrect_key,b,v,1
81,25,main,66,v,FALSE,0,Miss,-2,Miss!,incorrect_key,v,v,1
81,25,main,67,b,FALSE,496.61,Good,2,Good,,b,b,1
81,25,main,68,n,FALSE,464.24,Good,2,Good,,n,n,1
81,25,main,69,m,FALSE,435.75,Good,2,Good,,m,m,1
81,25,main,70,b,FALSE,413.43,Good,2,Good,,b,b,1
81,25,main,71,b,FALSE,361.66,Good,2,Good,,b,b,1
81,25,main,72,v,FALSE,414.04,Good,2,Good,,v,v,1
81,25,main,73,n,FALSE,1005.95,Miss,-2,Miss!,timeout,,n,0
81,25,main,74,b,FALSE,547.48,Late,1,Late,,b,b,1
81,25,main,75,m,FALSE,437.35,Good,2,Good,,m,m,1
81,25,main,76,v,FALSE,443.34,Good,2,Good,,v,v,1
81,25,main,77,b,FALSE,394.95,Good,2,Good,,b,b,1
81,25,main,78,n,FALSE,380.99,Good,2,Good,,n,n,1
81,25,main,79,m,FALSE,396.44,Good,2,Good,,m,m,1
