participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses
20717429,21,pretest,1,v,FALSE,482.12,Good,2,Good,,v,v,1
20717429,21,pretest,2,b,FALSE,476.27,Good,2,Good,,b,b,1
20717429,21,pretest,3,b,FALSE,451.82,Good,2,Good,,b,b,1
20717429,21,pretest,4,m,FALSE,502.27,Late,1,Late,,m,m,1
20717429,21,pretest,5,b,FALSE,418.36,Good,2,Good,,b,b,1
20717429,21,pretest,6,v,FALSE,761.47,Late,1,Late,,v,v,1
20717429,21,pretest,7,v,FALSE,414.84,Good,2,Good,,v,v,1
20717429,21,pretest,8,b,FALSE,459.83,Good,2,Good,,b,b,1
20717429,21,pretest,9,b,FALSE,451.81,Good,2,Good,,b,b,1
20717429,21,pretest,10,n,FALSE,561.57,Late,1,Late,,n,n,1
20717429,21,pretest,11,n,FALSE,529.57,Late,1,Late,,n,n,1
20717429,21,pretest,12,b,FALSE,434.53,Good,2,Good,,b,b,1
20717429,21,pretest,13,n,FALSE,468.67,Good,2,Good,,n,n,1
20717429,21,pretest,14,m,FALSE,344.97,Good,2,Good,,m,m,1
20717429,21,pretest,15,b,FALSE,412.91,Good,2,Good,,b,b,1
20717429,21,pretest,16,v,FALSE,430.36,Good,2,Good,,v,v,1
20717429,21,pretest,17,m,FALSE,492.78,Good,2,Good,,m,m,1
20717429,21,pretest,18,b,FALSE,415.93,Good,2,Good,,b,b,1
20717429,21,pretest,19,n,FALSE,694.68,Late,1,Late,,n,n,1
20717429,21,pretest,19,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
20717429,21,pretest,20,b,FALSE,487.67,Good,2,Good,,b,b,1
20717429,21,pretest,21,n,FALSE,446.76,Good,2,Good,,n,n,1
20717429,21,pretest,22,v,FALSE,444.77,Good,2,Good,,v,v,1
20717429,21,pretest,23,m,FALSE,466.78,Good,2,Good,,m,m,1
20717429,21,pretest,24,m,FALSE,513.62,Late,1,Late,,m,m,1
20717429,21,pretest,25,b,FALSE,447.74,Good,2,Good,,b,b,1
20717429,21,pretest,26,n,FALSE,563.06,Late,1,Late,,n,n,1
20717429,21,pretest,27,v,FALSE,397.9,Good,2,Good,,v,v,1
20717429,21,pretest,28,n,FALSE,450.07,Good,2,Good,,n,n,1
20717429,21,pretest,29,m,FALSE,1001.22,Miss,-2,Miss!,timeout,,m,0
20717429,21,pretest,30,v,FALSE,942.07,Late,1,Late,,v,v,1
20717429,21,pretest,31,b,FALSE,429.04,Good,2,Good,,b,b,1
20717429,21,pretest,32,n,FALSE,416.1,Good,2,Good,,n,n,1
20717429,21,pretest,33,b,FALSE,449.42,Good,2,Good,,b,b,1
20717429,21,pretest,34,v,FALSE,418.39,Good,2,Good,,v,v,1
20717429,21,pretest,35,b,FALSE,408.9,Good,2,Good,,b,b,1
20717429,21,pretest,36,b,FALSE,400.96,Good,2,Good,,b,b,1
20717429,21,pretest,37,n,FALSE,381.0,Good,2,Good,,n,n,1
20717429,21,pretest,38,n,FALSE,600.96,Late,1,Late,,n,n,1
20717429,21,pretest,39,b,FALSE,477.74,Good,2,Good,,b,b,1
20717429,21,pretest,40,n,FALSE,380.94,Good,2,Good,,n,n,1
20717429,21,pretest,41,v,FALSE,721.89,Late,1,Late,,v,v,1
20717429,21,pretest,42,v,FALSE,407.79,Good,2,Good,,v,v,1
20717429,21,pretest,43,v,FALSE,412.46,Good,2,Good,,v,v,1
20717429,21,pretest,44,v,FALSE,378.51,Good,2,Good,,v,v,1
20717429,21,pretest,45,n,FALSE,396.3,Good,2,Good,,n,n,1
20717429,21,pretest,46,m,FALSE,1014.48,Miss,-2,Miss!,timeout,,m,0
20717429,21,pretest,46,m,FALSE,0,Miss,-2,Miss!,incorrect_key,m,m,1
20717429,21,pretest,47,n,FALSE,580.49,Late,1,Late,,n,n,1
20717429,21,pretest,48,n,FALSE,482.36,Good,2,Good,,n,n,1
20717429,21,pretest,49,n,FALSE,414.88,Good,2,Good,,n,n,1
20717429,21,pretest,50,n,FALSE,412.9,Good,2,Good,,n,n,1
20717429,21,main,1,b,FALSE,536.51,Late,1,Late,,b,b,1
20717429,21,main,2,v,FALSE,448.84,Good,2,Good,,v,v,1
20717429,21,main,3,n,FALSE,411.91,Good,2,Good,,n,n,1
20717429,21,main,4,b,FALSE,428.81,Good,2,Good,,b,b,1
20717429,21,main,5,m,FALSE,1003.9,Miss,-2,Miss!,timeout,,m,0
20717429,21,main,6,v,FALSE,516.75,Late,1,Late,,v,v,1
20717429,21,main,7,b,FALSE,403.4,Good,2,Good,,b,b,1
20717429,21,main,8,n,FALSE,362.13,Good,2,Good,,n,n,1
20717429,21,main,9,m,FALSE,381.97,Good,2,Good,,m,m,1
20717429,21,main,10,b,FALSE,408.96,Good,2,Good,,b,b,1
20717429,21,main,11,b,FALSE,431.4,Good,2,Good,,b,b,1
20717429,21,main,12,v,FALSE,393.54,Good,2,Good,,v,v,1
20717429,21,main,13,n,FALSE,365.98,Good,2,Good,,n,n,1
20717429,21,main,14,b,FALSE,361.6,Good,2,Good,,b,b,1
20717429,21,main,15,m,FALSE,427.96,Good,2,Good,,m,m,1
20717429,21,main,16,v,FALSE,382.09,Good,2,Good,,v,v,1
20717429,21,main,17,b,FALSE,365.06,Good,2,Good,,b,b,1
20717429,21,main,18,n,FALSE,365.01,Good,2,Good,,n,n,1
20717429,21,main,19,m,FALSE,366.08,Good,2,Good,,m,m,1
