participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses
12345,50,pretest,1,m,FALSE,431.9,Good,2,Good,,m,m,1
12345,50,pretest,2,b,FALSE,461.71,Good,2,Good,,b,b,1
12345,50,pretest,3,v,FALSE,382.92,Good,2,Good,,v,v,1
12345,50,pretest,4,n,FALSE,364.95,Good,2,Good,,n,n,1
12345,50,pretest,5,m,FALSE,329.85,Good,2,Good,,m,m,1
12345,50,pretest,6,m,FALSE,360.81,Good,2,Good,,m,m,1
12345,50,pretest,7,m,FALSE,348.04,Good,2,Good,,m,m,1
12345,50,pretest,8,b,FALSE,729.31,Late,1,Late,,b,b,1
12345,50,pretest,9,n,FALSE,361.96,Good,2,Good,,n,n,1
12345,50,pretest,10,b,FALSE,0,Miss,-2,Miss!,incorrect_key,v,b,1
12345,50,pretest,10,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
12345,50,pretest,11,v,FALSE,549.53,Late,1,Late,,v,v,1
12345,50,pretest,12,v,FALSE,514.62,Late,1,Late,,v,v,1
12345,50,pretest,13,b,FALSE,0,Miss,-2,Miss!,incorrect_key,v,b,1
12345,50,pretest,13,b,FALSE,0,Miss,-2,Miss!,incorrect_key,v,b,1
12345,50,pretest,13,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
12345,50,pretest,14,m,FALSE,1010.29,Miss,-2,Miss!,timeout,,m,0
12345,50,pretest,14,m,FALSE,0,Miss,-2,Miss!,incorrect_key,m,m,1
12345,50,pretest,15,b,FALSE,498.65,Good,2,Good,,b,b,1
12345,50,pretest,16,m,FALSE,364.09,Good,2,Good,,m,m,1
12345,50,pretest,17,b,FALSE,446.75,Good,2,Good,,b,b,1
12345,50,pretest,18,b,FALSE,444.87,Good,2,Good,,b,b,1
12345,50,pretest,19,m,FALSE,724.59,Late,1,Late,,m,m,1
12345,50,pretest,20,v,FALSE,627.81,Late,1,Late,,v,v,1
12345,50,pretest,21,n,FALSE,415.38,Good,2,Good,,n,n,1
12345,50,pretest,22,m,FALSE,328.15,Good,2,Good,,m,m,1
12345,50,pretest,23,n,FALSE,317.3,Good,2,Good,,n,n,1
12345,50,pretest,24,m,FALSE,595.0,Late,1,Late,,m,m,1
12345,50,pretest,25,m,FALSE,363.07,Good,2,Good,,m,m,1
12345,50,pretest,26,b,FALSE,0,Miss,-2,Miss!,incorrect_key,v,b,1
12345,50,pretest,26,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
12345,50,pretest,27,b,FALSE,429.9,Good,2,Good,,b,b,1
12345,50,pretest,28,v,FALSE,261.16,Good,2,Good,,v,v,1
12345,50,pretest,29,n,FALSE,300.23,Good,2,Good,,n,n,1
12345,50,pretest,30,n,FALSE,0,Miss,-2,Miss!,incorrect_key,m,n,1
12345,50,pretest,30,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
12345,50,pretest,30,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
12345,50,pretest,30,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
12345,50,pretest,31,n,FALSE,232.43,Good,2,Good,,n,n,1
12345,50,pretest,32,v,FALSE,1006.82,Miss,-2,Miss!,timeout,,v,0
12345,50,pretest,32,v,FALSE,0,Miss,-2,Miss!,incorrect_key,b,v,1
12345,50,pretest,32,v,FALSE,0,Miss,-2,Miss!,incorrect_key,n,v,1
12345,50,pretest,33,m,FALSE,513.38,Late,1,Late,,m,m,1
12345,50,pretest,34,n,FALSE,296.72,Good,2,Good,,n,n,1
12345,50,pretest,35,b,FALSE,0,Miss,-2,Miss!,incorrect_key,n,b,1
12345,50,pretest,35,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
12345,50,pretest,35,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
12345,50,pretest,36,v,FALSE,377.9,Good,2,Good,,v,v,1
12345,50,pretest,37,b,FALSE,0,Miss,-2,Miss!,incorrect_key,v,b,1
12345,50,pretest,37,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
