participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses
20551122,22,pretest,1,n,FALSE,683.25,Late,1,Late,,n,n,1
20551122,22,pretest,1,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
20551122,22,pretest,2,b,FALSE,509.56,Late,1,Late,,b,b,1
20551122,22,pretest,3,m,FALSE,475.8,Good,2,Good,,m,m,1
20551122,22,pretest,4,n,FALSE,909.61,Late,1,Late,,n,n,1
20551122,22,pretest,4,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
20551122,22,pretest,4,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
20551122,22,pretest,5,b,FALSE,689.11,Late,1,Late,,b,b,1
20551122,22,pretest,6,v,FALSE,546.97,Late,1,Late,,v,v,1
20551122,22,pretest,7,v,FALSE,514.4,Late,1,Late,,v,v,1
20551122,22,pretest,8,b,FALSE,481.7,Good,2,Good,,b,b,1
20551122,22,pretest,9,m,FALSE,1002.42,Miss,-2,Miss!,timeout,,m,0
20551122,22,pretest,9,m,FALSE,0,Miss,-2,Miss!,incorrect_key,m,m,1
20551122,22,pretest,10,n,FALSE,717.6,Late,1,Late,,n,n,1
20551122,22,pretest,11,v,FALSE,1016.22,Miss,-2,Miss!,timeout,,v,0
20551122,22,pretest,12,n,FALSE,580.75,Late,1,Late,,n,n,1
20551122,22,pretest,13,v,FALSE,566.54,Late,1,Late,,v,v,1
20551122,22,pretest,14,m,FALSE,561.56,Late,1,Late,,m,m,1
20551122,22,pretest,15,b,FALSE,560.04,Late,1,Late,,b,b,1
20551122,22,pretest,16,b,FALSE,513.09,Late,1,Late,,b,b,1
20551122,22,pretest,17,v,FALSE,495.03,Good,2,Good,,v,v,1
20551122,22,pretest,18,n,FALSE,442.68,Good,2,Good,,n,n,1
20551122,22,pretest,19,v,FALSE,460.73,Good,2,Good,,v,v,1
20551122,22,pretest,20,v,FALSE,397.5,Good,2,Good,,v,v,1
20551122,22,pretest,21,v,FALSE,413.48,Good,2,Good,,v,v,1
20551122,22,pretest,22,v,FALSE,380.64,Good,2,Good,,v,v,1
20551122,22,pretest,23,m,FALSE,486.25,Good,2,Good,,m,m,1
20551122,22,pretest,24,v,FALSE,416.44,Good,2,Good,,v,v,1
20551122,22,pretest,25,m,FALSE,331.06,Good,2,Good,,m,m,1
20551122,22,pretest,26,n,FALSE,382.93,Good,2,Good,,n,n,1
20551122,22,pretest,27,v,FALSE,380.97,Good,2,Good,,v,v,1
20551122,22,pretest,28,b,FALSE,382.05,Good,2,Good,,b,b,1
20551122,22,pretest,29,b,FALSE,398.89,Good,2,Good,,b,b,1
20551122,22,pretest,30,n,FALSE,349.09,Good,2,Good,,n,n,1
20551122,22,pretest,31,n,FALSE,501.67,Late,1,Late,,n,n,1
