participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses
f,4,main,23,n,FALSE,1005.7,Miss,-2,Miss!,timeout,,n,0
f,4,main,24,b,FALSE,1011.58,Miss,-2,Miss!,timeout,,b,0
f,4,main,25,m,FALSE,1009.47,Miss,-2,Miss!,timeout,,m,0
f,4,main,26,v,FALSE,1008.33,Miss,-2,Miss!,timeout,,v,0
f,4,main,27,b,FALSE,1014.49,Miss,-2,Miss!,timeout,,b,0
f,4,main,28,n,FALSE,1015.24,Miss,-2,Miss!,timeout,,n,0
f,4,main,29,m,FALSE,1002.23,Miss,-2,Miss!,timeout,,m,0
f,4,main,30,b,FALSE,1008.26,Miss,-2,Miss!,timeout,,b,0
f,4,main,31,b,FALSE,1005.36,Miss,-2,Miss!,timeout,,b,0
f,4,main,32,v,FALSE,1010.18,Miss,-2,Miss!,timeout,,v,0
f,4,main,33,n,FALSE,1013.92,Miss,-2,Miss!,timeout,,n,0
f,4,main,34,b,FALSE,1012.27,Miss,-2,Miss!,timeout,,b,0
f,4,main,35,m,FALSE,1012.13,Miss,-2,Miss!,timeout,,m,0
f,4,main,36,v,FALSE,1011.23,Miss,-2,Miss!,timeout,,v,0
f,4,main,37,b,FALSE,1015.93,Miss,-2,Miss!,timeout,,b,0
f,4,main,38,n,FALSE,1001.45,Miss,-2,Miss!,timeout,,n,0
f,4,main,39,m,FALSE,1012.47,Miss,-2,Miss!,timeout,,m,0
f,4,main,40,b,FALSE,1014.67,Miss,-2,Miss!,timeout,,b,0
f,4,main,41,b,FALSE,1009.64,Miss,-2,Miss!,timeout,,b,0
f,4,main,42,v,FALSE,1015.11,Miss,-2,Miss!,timeout,,v,0
f,4,main,43,n,FALSE,1009.87,Miss,-2,Miss!,timeout,,n,0
f,4,main,44,b,FALSE,1010.21,Miss,-2,Miss!,timeout,,b,0
f,4,main,45,m,FALSE,1015.27,Miss,-2,Miss!,timeout,,m,0
f,4,main,46,v,FALSE,1010.33,Miss,-2,Miss!,timeout,,v,0
f,4,main,47,b,FALSE,1014.28,Miss,-2,Miss!,timeout,,b,0
f,4,main,48,n,FALSE,1011.4,Miss,-2,Miss!,timeout,,n,0
f,4,main,49,m,FALSE,1002.18,Miss,-2,Miss!,timeout,,m,0
f,4,main,50,b,FALSE,1014.34,Miss,-2,Miss!,timeout,,b,0
f,4,main,51,b,FALSE,1013.3,Miss,-2,Miss!,timeout,,b,0
f,4,main,52,v,FALSE,1013.3,Miss,-2,Miss!,timeout,,v,0
f,4,main,53,n,FALSE,1009.66,Miss,-2,Miss!,timeout,,n,0
f,4,main,54,b,FALSE,1001.21,Miss,-2,Miss!,timeout,,b,0
f,4,main,55,m,FALSE,1010.55,Miss,-2,Miss!,timeout,,m,0
f,4,main,56,v,FALSE,1011.02,Miss,-2,Miss!,timeout,,v,0
f,4,main,57,b,FALSE,1012.33,Miss,-2,Miss!,timeout,,b,0
f,4,main,58,n,FALSE,1013.45,Miss,-2,Miss!,timeout,,n,0
f,4,main,59,m,FALSE,1008.33,Miss,-2,Miss!,timeout,,m,0
f,4,main,60,b,FALSE,1007.72,Miss,-2,Miss!,timeout,,b,0
f,4,main,61,b,FALSE,1000.65,Miss,-2,Miss!,timeout,,b,0
f,4,main,62,v,FALSE,1011.33,Miss,-2,Miss!,timeout,,v,0
f,4,main,63,n,FALSE,1001.26,Miss,-2,Miss!,timeout,,n,0
f,4,main,64,b,FALSE,1014.67,Miss,-2,Miss!,timeout,,b,0
f,4,main,65,m,FALSE,1003.24,Miss,-2,Miss!,timeout,,m,0
f,4,main,66,v,FALSE,1007.97,Miss,-2,Miss!,timeout,,v,0
f,4,main,67,b,FALSE,1013.48,Miss,-2,Miss!,timeout,,b,0
f,4,main,68,n,FALSE,1014.36,Miss,-2,Miss!,timeout,,n,0
f,4,main,69,m,FALSE,1013.36,Miss,-2,Miss!,timeout,,m,0
f,4,main,70,b,FALSE,1013.32,Miss,-2,Miss!,timeout,,b,0
f,4,main,71,b,FALSE,1010.63,Miss,-2,Miss!,timeout,,b,0
f,4,main,72,v,FALSE,1015.82,Miss,-2,Miss!,timeout,,v,0
f,4,main,73,n,FALSE,1004.83,Miss,-2,Miss!,timeout,,n,0
f,4,main,74,b,FALSE,1013.91,Miss,-2,Miss!,timeout,,b,0
f,4,main,75,m,FALSE,1007.69,Miss,-2,Miss!,timeout,,m,0
f,4,main,76,v,FALSE,1000.03,Miss,-2,Miss!,timeout,,v,0
f,4,main,77,b,FALSE,1000.85,Miss,-2,Miss!,timeout,,b,0
f,4,main,78,n,FALSE,1000.35,Miss,-2,Miss!,timeout,,n,0
f,4,main,79,m,FALSE,1003.06,Miss,-2,Miss!,timeout,,m,0
f,4,main,80,b,FALSE,1016.4,Miss,-2,Miss!,timeout,,b,0
f,4,main,81,b,FALSE,1014.18,Miss,-2,Miss!,timeout,,b,0
f,4,main,82,v,FALSE,1006.55,Miss,-2,Miss!,timeout,,v,0
f,4,main,83,n,FALSE,1013.17,Miss,-2,Miss!,timeout,,n,0
f,4,main,84,b,FALSE,1014.17,Miss,-2,Miss!,timeout,,b,0
f,4,main,85,m,FALSE,1014.4,Miss,-2,Miss!,timeout,,m,0
f,4,main,86,v,FALSE,1009.91,Miss,-2,Miss!,timeout,,v,0
f,4,main,87,b,FALSE,1007.81,Miss,-2,Miss!,timeout,,b,0
f,4,main,88,n,FALSE,1014.73,Miss,-2,Miss!,timeout,,n,0
f,4,main,89,m,FALSE,1007.85,Miss,-2,Miss!,timeout,,m,0
f,4,main,90,b,FALSE,1012.96,Miss,-2,Miss!,timeout,,b,0
f,4,main,91,b,FALSE,1016.9,Miss,-2,Miss!,timeout,,b,0
f,4,main,92,v,FALSE,1014.79,Miss,-2,Miss!,timeout,,v,0
f,4,main,93,n,FALSE,1000.39,Miss,-2,Miss!,timeout,,n,0
f,4,main,94,b,FALSE,1010.53,Miss,-2,Miss!,timeout,,b,0
f,4,main,95,m,FALSE,1000.64,Miss,-2,Miss!,timeout,,m,0
f,4,main,96,v,FALSE,1008.67,Miss,-2,Miss!,timeout,,v,0
f,4,main,97,b,FALSE,1007.27,Miss,-2,Miss!,timeout,,b,0
f,4,main,98,n,FALSE,1008.98,Miss,-2,Miss!,timeout,,n,0
f,4,main,99,m,FALSE,1007.16,Miss,-2,Miss!,timeout,,m,0
f,4,main,100,b,FALSE,1013.75,Miss,-2,Miss!,timeout,,b,0
f,4,main,101,b,FALSE,1010.55,Miss,-2,Miss!,timeout,,b,0
f,4,main,102,v,FALSE,1002.55,Miss,-2,Miss!,timeout,,v,0
f,4,main,103,n,FALSE,1011.75,Miss,-2,Miss!,timeout,,n,0
f,4,main,104,b,FALSE,1010.89,Miss,-2,Miss!,timeout,,b,0
f,4,main,105,m,FALSE,1016.12,Miss,-2,Miss!,timeout,,m,0
f,4,main,106,v,FALSE,1001.19,Miss,-2,Miss!,timeout,,v,0
f,4,main,107,b,FALSE,1014.48,Miss,-2,Miss!,timeout,,b,0
f,4,main,108,n,FALSE,1015.82,Miss,-2,Miss!,timeout,,n,0
f,4,main,109,m,FALSE,1009.21,Miss,-2,Miss!,timeout,,m,0
f,4,main,110,b,FALSE,1015.33,Miss,-2,Miss!,timeout,,b,0
f,4,main,111,b,FALSE,1005.95,Miss,-2,Miss!,timeout,,b,0
f,4,main,112,v,FALSE,1012.64,Miss,-2,Miss!,timeout,,v,0
f,4,main,113,n,FALSE,1010.0,Miss,-2,Miss!,timeout,,n,0
f,4,main,114,b,FALSE,1004.43,Miss,-2,Miss!,timeout,,b,0
f,4,main,115,m,FALSE,1010.85,Miss,-2,Miss!,timeout,,m,0
f,4,main,116,v,FALSE,1013.47,Miss,-2,Miss!,timeout,,v,0
f,4,main,117,b,FALSE,1003.89,Miss,-2,Miss!,timeout,,b,0
f,4,main,118,n,FALSE,1005.32,Miss,-2,Miss!,timeout,,n,0
f,4,main,119,m,FALSE,1011.98,Miss,-2,Miss!,timeout,,m,0
f,4,main,120,b,FALSE,1011.39,Miss,-2,Miss!,timeout,,b,0
f,4,main,121,b,FALSE,1010.26,Miss,-2,Miss!,timeout,,b,0
f,4,main,122,v,FALSE,1009.12,Miss,-2,Miss!,timeout,,v,0
f,4,main,123,n,FALSE,1009.3,Miss,-2,Miss!,timeout,,n,0
f,4,main,124,b,FALSE,1014.63,Miss,-2,Miss!,timeout,,b,0
f,4,main,125,m,FALSE,1009.96,Miss,-2,Miss!,timeout,,m,0
f,4,main,126,v,FALSE,1005.88,Miss,-2,Miss!,timeout,,v,0
